Colony Prefix,Colony Name,Strain,Cohort Name,Pipeline,DCF Version,Gene Name,Mouse Name,Mouse,Genotype,Sex,Birth Date,Assay Date,Age In Weeks,Is Complete,Number Of Thoracic Vertebrae,Number Of Lumbar Vertebrae,Number Of Pelvic Vertebrae,Number Of Caudal Vertebrae,Transitional Vertebrae,Shape Of Vertebrae,Fusion Of Vertebrae,Processes On Vertebrae,Number Of Ribs Right,Number Of Ribs Left,Shape Of Ribcage,Shape Of Ribs,Rib Fusions,Clavicle,Scapula,Humerus,Radius,Ulna,Pelvis,Femur,Tibia,Fibula,Joints,Shape Of Spine,Teeth,Mandible,Maxilla,Zygomatic Bone,Number Of Cervical Vertebrae,Skull Shape,Number Of Digits,Digit Integrity,Syndactylism,Polysyndactylism,Brachydactylism,Comments,Anaesthetic,Tibia Length,Mouse Status,X Ray Equipment Name,X Ray Equipment Manufacturer,X Ray Equipment Model,Scanner Equipment Name,Scanner Equipment Manufacturer,Scanner Equipment Model,Level Used,Kyphosis,Lordosis,Scoliosis,Spinous Processes,Transverse Processes,Fusion Processes,Caudal Processes,Cervical Processes,Lumbar Processes,Sacral Processes,Thoracic Processes,Core Strain,Full Strain
MDZN,Ubash3a Knockout 1 EPD0736_4_B10,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121217,MGP Select,V2,Ubash3a,MDZN31.2i,M01356510,+/+,Female,17/12/2012,25/03/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,-,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGU,Ushbp1 tm1a(EUCOMM)Wtsi EPD0593_1_H09,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121217,MGP Select,V2,Ushbp1,MFGU31.1c,M01357930,+/+,Male,17/12/2012,25/03/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged and fused spinous processes of C1 and C2; truncated spinous process of T2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,Yes,Normal,Abnormal,Normal,Normal,Abnormal,B6N,C57BL/6N;C57BL/6NTac
MFGU,Ushbp1 tm1a(EUCOMM)Wtsi EPD0593_1_H09,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121217,MGP Select,V2,Ushbp1,MFGU31.1a,M01357928,+/+,Male,17/12/2012,25/03/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous processes of C1 and C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MCZY,Dlg3 Knockout 1 EPD0525_1_C08,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Dlg3,MCZY58.3b,M01312394,+/+,Female,01/11/2012,07/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C1; reduced intervertebral space between C1 and C2,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MEQK,Pop4 tm1a(EUCOMM)Wtsi EPD0752_1_A01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Pop4,MEQK20.1e,M01307332,+/+,Female,01/11/2012,07/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space with excess bone between C1 and C2,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MEQK,Pop4 tm1a(EUCOMM)Wtsi EPD0752_1_A01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Pop4,MEQK20.1f,M01307333,+/+,Female,01/11/2012,07/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous processes of C1 and C2; reduced intervertebral space between C1 and C2,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MEQK,Pop4 tm1a(EUCOMM)Wtsi EPD0752_1_A01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Pop4,MEQK20.1g,M01307334,+/+,Female,01/11/2012,07/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Abnormal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,enlarged both ischii; Enlarged spinous processes of C1 and C2; reduced intervertebral space between C1 and C2,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MCSZ,Dynll1 Knockout EPD0397_1_B02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dynll1,MCSZ59.2d,M01317624,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,-,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Normal,B6N,C57BL/6N(12.5%);C57BL/6NTac(87.5%)
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE28.2b,M01312400,+/+,Male,05/11/2012,11/02/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE28.2d,M01312402,+/+,Male,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3d,M01318899,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE28.2f,M01312404,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3g,M01318902,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,29,No,Abnormal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2; abnormal morphology of C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3c,M01318898,+/+,Male,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Truncated spinous process of T2; enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Abnormal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3f,M01318901,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MCSZ,Dynll1 Knockout EPD0397_1_B02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dynll1,MCSZ59.2h,M01317628,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,28,Yes,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,No,No,No,No,Fractured intermediate phalanx of digit 2 of right hind paw; transitional L6; truncated spinous process of T2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Abnormal,B6N,C57BL/6N(12.5%);C57BL/6NTac(87.5%)
MCSZ,Dynll1 Knockout EPD0397_1_B02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dynll1,MCSZ59.2g,M01317627,+/+,Female,05/11/2012,11/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,-,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Normal,B6N,C57BL/6N(12.5%);C57BL/6NTac(87.5%)
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY37.1d,M01327003,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,-,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY37.1g,M01327006,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Elarged spinous process of C2; truncated spinous process of T2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Abnormal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY37.1f,M01327005,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; truncated spinous process of T2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Abnormal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY39.1a,M01327007,+/+,Male,15/11/2012,21/02/2013,14,1,13,6,4,27,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous processes of C2 and T1; truncated spinous process of T2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Abnormal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY40.1a,M01327011,+/+,Male,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY40.1b,M01327012,+/+,Male,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY39.1c,M01327009,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY39.1d,M01327010,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,27,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY40.1c,M01327013,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY39.1b,M01327008,+/+,Male,15/11/2012,21/02/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,-,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Normal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY40.1d,M01327014,+/+,Female,15/11/2012,21/02/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous processes of C2 and T1; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Abnormal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT16.1f,M01339850,+/+,Female,27/11/2012,05/03/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT16.1h,M01339852,+/+,Female,27/11/2012,05/03/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT18.1c,M01339874,+/+,Female,27/11/2012,05/03/2013,14,1,13,6,4,27,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT18.1d,M01339875,+/+,Female,27/11/2012,05/03/2013,14,1,13,6,4,28,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,7,Normal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
MCZX,Coq4 Knockout 1 EPD0498_3_C02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Coq4,MCZX69.1b,M01340729,+/+,Male,27/11/2012,05/03/2013,14,1,13,6,4,29,No,Normal,No,-,13,13,Normal,Normal,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Abnormal,Normal,Normal,Normal,7,Abnormal,20,Yes,No,No,No,Enlarged spinous process of C2; reduced intervertebral space between C1 and C2; depressed nasal bone; dental asymmetry of upper incisors.,Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,-,-,-,Normal,No,No,No,-,,No,Normal,Abnormal,Normal,Normal,Normal,B6N,C57BL/6N;C57BL/6NTac
